x1	x2	x3	x4	x5	x6	x7	x8
0.0	0.2557	0.0785	0.0785	0.1765	0.1765	0.0857	0.1485
0.0	0.4392	0.021	0.021	0.1899	0.1899	0.0219	0.117
0.0	0.4392	0.021	0.021	0.1899	0.1899	0.0219	0.117
0.0	0.3116	0.0528	0.0528	0.1891	0.1891	0.0587	0.1457
0.0	0.1935	0.1098	0.1098	0.1604	0.1604	0.1176	0.1485
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.2678	0.0681	0.0789	0.1757	0.1819	0.0801	0.1475
0.0	0.2664	0.0819	0.06	0.1884	0.1733	0.0787	0.1512
0.0	0.3813	0.0134	0.0188	0.1855	0.2343	0.0196	0.147
0.0	0.1085	0.025	0.0389	0.1729	0.3106	0.0544	0.2897
0.0	0.0079	0.0909	0.2295	0.0475	0.0945	0.3549	0.1748
0.0	0.0199	0.2498	0.0624	0.1419	0.0523	0.2915	0.1822
0.0	0.0153	0.4379	0.0129	0.1855	0.0295	0.1847	0.1341
0.0	0.0176	0.2285	0.09	0.1294	0.0594	0.2973	0.1779
0.0	0.0037	0.4776	0.0128	0.1284	0.0087	0.2578	0.111
0.0	0.008	0.5382	0.008	0.1732	0.0077	0.1732	0.0916
0.0	0.0044	0.6264	0.0044	0.1465	0.0043	0.1465	0.0675
0.0	0.0279	0.1706	0.1706	0.1036	0.1036	0.2622	0.1615
0.0	0.1022	0.2612	0.0164	0.2852	0.0643	0.1092	0.1614
0.0	0.2281	0.1013	0.0303	0.2512	0.1401	0.0764	0.1727
0.0	0.6273	0.0041	0.0041	0.1469	0.1469	0.0035	0.0672
0.0	0.6338	0.0042	0.0042	0.1444	0.1444	0.0035	0.0654
0.0	0.6251	0.0052	0.0052	0.1463	0.1463	0.0044	0.0677
0.0	0.0207	0.034	0.3816	0.0301	0.1834	0.2147	0.1355
0.0	0.0053	0.0053	0.6143	0.0055	0.1487	0.1487	0.0722
0.0	0.0428	0.0428	0.338	0.0477	0.1932	0.1932	0.1423
0.0	0.0228	0.0228	0.4109	0.0247	0.1958	0.1958	0.1271
0.0	0.0069	0.2026	0.2026	0.0672	0.0672	0.3102	0.1432
0.0	0.0342	0.1635	0.1635	0.1106	0.1106	0.2449	0.1726
0.0	0.0217	0.1449	0.1449	0.0911	0.0911	0.3169	0.1893
0.0	0.6115	0.0067	0.0025	0.1665	0.1352	0.0046	0.073
0.0	0.4502	0.0276	0.0061	0.2443	0.1379	0.0175	0.1164
0.0	0.444	0.0179	0.0179	0.1911	0.1911	0.0193	0.1187
0.0	0.3936	0.0262	0.0262	0.1967	0.1967	0.0288	0.1318
0.0	0.3921	0.028	0.028	0.1953	0.1953	0.0306	0.1307
0.0	0.2044	0.2107	0.0177	0.2419	0.0909	0.0927	0.1417
0.0	0.1704	0.1609	0.0382	0.237	0.1146	0.1098	0.1692
0.0	0.3406	0.0419	0.0419	0.1935	0.1935	0.0466	0.1419
0.0	0.1638	0.1789	0.0498	0.205	0.1178	0.1255	0.1592
0.0	0.0129	0.5042	0.0129	0.1786	0.0128	0.1786	0.1001
0.0	0.0007	0.8537	0.0007	0.0622	0.0004	0.0622	0.0203
0.0	0.0008	0.8562	0.0008	0.0607	0.0005	0.0607	0.0203
0.0	0.003	0.7457	0.003	0.1026	0.0022	0.1026	0.0409
0.0	0.4813	0.0155	0.0155	0.1831	0.1831	0.0157	0.1059
0.0	0.3312	0.0444	0.0444	0.1931	0.1931	0.0495	0.1444
0.0	0.6241	0.0045	0.0045	0.1472	0.1472	0.0044	0.0681
0.0	0.4368	0.0169	0.0165	0.1954	0.1944	0.018	0.122
0.0	0.7013	0.0022	0.0009	0.1359	0.1105	0.0014	0.0478
